Date,Coal,Demand,Hydroelectric,Natural Gas,Nuclear,Other,Solar,Wind
2015-07-01 01:00:00-05:00,,37456,,,,,,
2015-07-01 02:00:00-05:00,,35119,,,,,,
2015-07-01 03:00:00-05:00,,33638,,,,,,
2015-07-01 04:00:00-05:00,,32798,,,,,,
2015-07-01 05:00:00-05:00,,32805,,,,,,
2015-07-01 06:00:00-05:00,,34121,,,,,,
2015-07-01 07:00:00-05:00,,35894,,,,,,
2015-07-01 08:00:00-05:00,,37403,,,,,,
2015-07-01 09:00:00-05:00,,39964,,,,,,
2015-07-01 10:00:00-05:00,,43192,,,,,,
2015-07-01 11:00:00-05:00,,46593,,,,,,
2015-07-01 12:00:00-05:00,,48829,,,,,,
2015-07-01 13:00:00-05:00,,50231,,,,,,
2015-07-01 14:00:00-05:00,,51645,,,,,,
2015-07-01 15:00:00-05:00,,52622,,,,,,
2015-07-01 16:00:00-05:00,,53774,,,,,,
2015-07-01 17:00:00-05:00,,53665,,,,,,
2015-07-01 18:00:00-05:00,,52925,,,,,,
2015-07-01 19:00:00-05:00,,51756,,,,,,
2015-07-01 20:00:00-05:00,,50171,,,,,,
2015-07-01 21:00:00-05:00,,48655,,,,,,
2015-07-01 22:00:00-05:00,,47667,,,,,,
2015-07-01 23:00:00-05:00,,44629,,,,,,
2015-07-02 00:00:00-05:00,,40754,,,,,,
2015-07-02 01:00:00-05:00,,37547,,,,,,
2015-07-02 02:00:00-05:00,,35199,,,,,,
2015-07-02 03:00:00-05:00,,33637,,,,,,
2015-07-02 04:00:00-05:00,,32759,,,,,,
2015-07-02 05:00:00-05:00,,32536,,,,,,
2015-07-02 06:00:00-05:00,,33527,,,,,,
2015-07-02 07:00:00-05:00,,35196,,,,,,
2015-07-02 08:00:00-05:00,,36637,,,,,,
2015-07-02 09:00:00-05:00,,39221,,,,,,
2015-07-02 10:00:00-05:00,,42398,,,,,,
2015-07-02 11:00:00-05:00,,45675,,,,,,
2015-07-02 12:00:00-05:00,,48667,,,,,,
2015-07-02 13:00:00-05:00,,51260,,,,,,
2015-07-02 14:00:00-05:00,,53719,,,,,,
2015-07-02 15:00:00-05:00,,55525,,,,,,
2015-07-02 16:00:00-05:00,,56836,,,,,,
2015-07-02 17:00:00-05:00,,57505,,,,,,
2015-07-02 18:00:00-05:00,,56807,,,,,,
2015-07-02 19:00:00-05:00,,55044,,,,,,
2015-07-02 20:00:00-05:00,,52776,,,,,,
2015-07-02 21:00:00-05:00,,50986,,,,,,
2015-07-02 22:00:00-05:00,,49845,,,,,,
2015-07-02 23:00:00-05:00,,46817,,,,,,
2015-07-03 00:00:00-05:00,,43307,,,,,,
2015-07-03 01:00:00-05:00,,40173,,,,,,
2015-07-03 02:00:00-05:00,,37954,,,,,,
2015-07-03 03:00:00-05:00,,36353,,,,,,
2015-07-03 04:00:00-05:00,,35346,,,,,,
2015-07-03 05:00:00-05:00,,34981,,,,,,
2015-07-03 06:00:00-05:00,,35402,,,,,,
2015-07-03 07:00:00-05:00,,35919,,,,,,
2015-07-03 08:00:00-05:00,,36447,,,,,,
2015-07-03 09:00:00-05:00,,38820,,,,,,
2015-07-03 10:00:00-05:00,,42009,,,,,,
2015-07-03 11:00:00-05:00,,45201,,,,,,
2015-07-03 12:00:00-05:00,,48116,,,,,,
2015-07-03 13:00:00-05:00,,50501,,,,,,
2015-07-03 14:00:00-05:00,,52232,,,,,,
2015-07-03 15:00:00-05:00,,53443,,,,,,
2015-07-03 16:00:00-05:00,,54180,,,,,,
2015-07-03 17:00:00-05:00,,54510,,,,,,
2015-07-03 18:00:00-05:00,,54028,,,,,,
2015-07-03 19:00:00-05:00,,52732,,,,,,
2015-07-03 20:00:00-05:00,,50673,,,,,,
2015-07-03 21:00:00-05:00,,49028,,,,,,
2015-07-03 22:00:00-05:00,,47940,,,,,,
2015-07-03 23:00:00-05:00,,45385,,,,,,
2015-07-04 00:00:00-05:00,,42470,,,,,,
2015-07-04 01:00:00-05:00,,39566,,,,,,
2015-07-04 02:00:00-05:00,,37379,,,,,,
2015-07-04 03:00:00-05:00,,35757,,,,,,
2015-07-04 04:00:00-05:00,,34698,,,,,,
2015-07-04 05:00:00-05:00,,34057,,,,,,
2015-07-04 06:00:00-05:00,,33939,,,,,,
2015-07-04 07:00:00-05:00,,33910,,,,,,
2015-07-04 08:00:00-05:00,,34456,,,,,,
2015-07-04 09:00:00-05:00,,37333,,,,,,
2015-07-04 10:00:00-05:00,,41075,,,,,,
2015-07-04 11:00:00-05:00,,45018,,,,,,
2015-07-04 12:00:00-05:00,,48470,,,,,,
2015-07-04 13:00:00-05:00,,51173,,,,,,
2015-07-04 14:00:00-05:00,,52980,,,,,,
2015-07-04 15:00:00-05:00,,54226,,,,,,
2015-07-04 16:00:00-05:00,,54755,,,,,,
2015-07-04 17:00:00-05:00,,54722,,,,,,
2015-07-04 18:00:00-05:00,,54308,,,,,,
2015-07-04 19:00:00-05:00,,52974,,,,,,
2015-07-04 20:00:00-05:00,,50742,,,,,,
2015-07-04 21:00:00-05:00,,48474,,,,,,
2015-07-04 22:00:00-05:00,,46782,,,,,,
2015-07-04 23:00:00-05:00,,44767,,,,,,
2015-07-05 00:00:00-05:00,,42872,,,,,,
2015-07-05 01:00:00-05:00,,40437,,,,,,
2015-07-05 02:00:00-05:00,,38209,,,,,,
2015-07-05 03:00:00-05:00,,36459,,,,,,
2015-07-05 04:00:00-05:00,,35240,,,,,,
