Call Sign,Vessel Name,Flag,Arrival Date,Departure Date,Last Ports,Arrival Date/Time,Next Ports,Departure Date/Time
OWPP2,MANILA MAERSK,DENMARK,6/17/2022,6/18/2022,"OTHER, OMAN",6/17/2022 18:13,"NINGBO, ZJ",6/18/2022 22:03
VRMK3,SEA AMBITION,"HONG KONG, CHINA",6/17/2022,6/17/2022,SINGAPORE,6/17/2022 10:20,"ZHUHAI, GD",6/17/2022 18:32
D5XY3,ZEBRA,LIBERIA,6/17/2022,6/18/2022,"YANTIAN, SHENZHEN",6/17/2022 18:18,BATANGAS,6/18/2022 9:12
VRFX2,OOCL CHARLESTON,"HONG KONG, CHINA",6/17/2022,6/17/2022,SINGAPORE,6/17/2022 8:02,"SHANGHAI, SH",6/17/2022 18:42
V7A4676,TS MUMBAI,MARSHALL ISLANDS,6/17/2022,6/19/2022,LAEM CHABANG,6/17/2022 18:26,"SHEKOU, SHENZHEN",6/19/2022 2:33
VRUA6,PAC CHRISTINA,"HONG KONG, CHINA",6/17/2022,6/17/2022,BANJARMASIN,6/17/2022 11:09,"TIANJIN XINGANG, TJ",6/17/2022 19:54
V7ZQ9,STARSHIP LEO,MARSHALL ISLANDS,6/17/2022,6/18/2022,ULSAN,6/17/2022 18:26,HAIPHONG,6/18/2022 0:55
9V6959,ASIATIC REUNION,SINGAPORE,6/17/2022,6/17/2022,"NANSHA, NANSHA, PANYU",6/17/2022 4:20,MANILA,6/17/2022 19:57
9VFK8,LOUISA SCHULTE,SINGAPORE,6/17/2022,6/18/2022,"SHANGHAI, SH",6/17/2022 18:56,AUCKLAND,6/18/2022 10:52
9V6499,WAN HAI 328,SINGAPORE,6/16/2022,6/17/2022,PASIR GUDANG,6/16/2022 22:49,TOKYO,6/17/2022 20:07
V7HM2,AL JASRAH,MARSHALL ISLANDS,6/17/2022,6/18/2022,SINGAPORE,6/17/2022 20:51,BUSAN,6/18/2022 20:53
H9ON,EVER BURLY,PANAMA,6/17/2022,6/17/2022,TANJUNG PELEPAS,6/17/2022 2:40,KAOHSIUNG,6/17/2022 20:30
BLBP,WAN HAI 235,"TAIWAN, CHINA",6/17/2022,6/17/2022,TAIPEI,6/17/2022 20:52,TAICHUNG,6/17/2022 21:57
3FYH5,RUN FAR,PANAMA,6/17/2022,6/15/2022,"DONGGUAN, GD",6/17/2022 20:53,"DONGGUAN, GD",6/15/2022 6:51
3ETI4,VIMC DIAMOND,PANAMA,6/17/2022,6/17/2022,"SHANGHAI, SH",6/17/2022 12:08,HAIPHONG,6/17/2022 22:34
9V7585,WAN HAI 272,SINGAPORE,6/17/2022,6/18/2022,KAOHSIUNG,6/17/2022 21:00,LAEM CHABANG,6/18/2022 10:35
DSRA4,SINOKOR HONGKONG,REPUBLIC OF KOREA,6/17/2022,6/18/2022,KWANGYANG,6/17/2022 11:35,HAIPHONG,6/18/2022 0:32
V7A2884,ASIAN GRACIAS,MARSHALL ISLANDS,6/17/2022,6/18/2022,KAOHSIUNG,6/17/2022 21:09,"HUANGPU, GD",6/18/2022 17:39
3FHB3,KMTC INCHEON,PANAMA,6/17/2022,6/18/2022,KWANGYANG,6/17/2022 21:31,HO CHI MINH CITY,6/18/2022 10:28
BKLQ,EVER BOARD,"TAIWAN, CHINA",6/16/2022,6/18/2022,KAOHSIUNG,6/16/2022 21:48,"SHEKOU, SHENZHEN",6/18/2022 3:08
PLLD,MONTOK,INDONESIA,6/17/2022,,"OTHER, VIETNAM",6/17/2022 21:44,,
7KEP,ONE CYGNUS,JAPAN,6/17/2022,6/18/2022,VUNGTAU,6/17/2022 16:22,"YANTIAN, SHENZHEN",6/18/2022 4:08
HPEY,XINGHE CENTURY,PANAMA,6/17/2022,6/18/2022,"HUANGPU, GD",6/17/2022 21:46,NINGDE,6/18/2022 7:01
V7HY7,HEUNG-A AKITA,MARSHALL ISLANDS,6/12/2022,6/18/2022,HAIPHONGINCHEON,6/12/2022 15:42,BUSANHAIPHONG,6/18/2022 5:48
V7FW4,INTEGRA,MARSHALL ISLANDS,6/17/2022,6/18/2022,SINGAPORE,6/17/2022 21:54,MANILA,6/18/2022 17:40
BICQ,TS TAICHUNG,"TAIWAN, CHINA",6/17/2022,6/18/2022,PASIR GUDANG,6/17/2022 21:57,PUSAN,6/18/2022 15:07
VRXH5,OSG ADMIRAL,"HONG KONG, CHINA",6/18/2022,6/18/2022,"SHANTOU, GD",6/18/2022 9:04,"SHEKOU, SHENZHEN",6/18/2022 9:05
3E4009,EVER OBEY,PANAMA,6/18/2022,6/18/2022,DANANG,6/18/2022 2:15,"SHANGHAI, SH",6/18/2022 16:10
9V7589,WAN HAI 101,SINGAPORE,6/18/2022,6/19/2022,KAOHSIUNG,6/18/2022 6:54,OSAKA,6/19/2022 0:03
D7BK,WOO SUNG,REPUBLIC OF KOREA,6/16/2022,6/18/2022,DAESAN,6/16/2022 0:15,DAESAN,6/18/2022 10:27
3ENL7,BLUE PHOENIX,PANAMA,6/18/2022,6/18/2022,"OTHER, CHINA (COAST)",6/18/2022 7:40,SINGAPORE,6/18/2022 11:34
JVLM7,PLATON,MONGOLIA,6/18/2022,6/18/2022,"RIZHAO, SD",6/18/2022 8:04,HAIPHONG,6/18/2022 11:44
3FVG4,FABULOUS SW,PANAMA,6/18/2022,6/18/2022,"YANGJIANG, GD",6/18/2022 8:45,NINGDE,6/18/2022 17:20
3ECE5,FALCON EXPRESS,PANAMA,6/18/2022,6/18/2022,"RIZHAO, SD",6/18/2022 9:01,"CAILAN, VIETNAM",6/18/2022 20:01
D5DM3,HANSA FRESENBURG,LIBERIA,6/17/2022,6/18/2022,"LIANYUNGANG, JS",6/17/2022 11:12,"SHEKOU, SHENZHEN",6/18/2022 11:06
3EHI,TAICHUNG,PANAMA,6/18/2022,6/18/2022,HAIPHONG,6/18/2022 9:20,KAOHSIUNG,6/18/2022 14:07
3FGZ8,WISDOM ACE,PANAMA,6/18/2022,6/18/2022,SINGAPORE,6/18/2022 9:27,"OTHER, CHINA (RIVER)",6/18/2022 14:31
3E2416,EVER COMPOSE,PANAMA,6/17/2022,6/18/2022,KAOHSIUNG,6/17/2022 17:52,KOTA KINABALU,6/18/2022 12:03
3EMJ7,HUI FENG,PANAMA,6/18/2022,6/18/2022,MAOMING,6/18/2022 10:19,"OTHER, KOREA, R",6/18/2022 12:34
VRBK8,OSG BOSSTEC,"HONG KONG, CHINA",6/18/2022,6/18/2022,"NANSHA, PANYU",6/18/2022 10:28,"SHEKOU, SHENZHEN",6/18/2022 18:13
V7GN7,SAN FELIPE,MARSHALL ISLANDS,6/18/2022,,SINGAPORE,6/18/2022 11:20,,
3ELQ8,COSCO ASIA,PANAMA,6/17/2022,6/18/2022,"YANTIAN, GD",6/17/2022 9:11,"NINGBO, ZJ",6/18/2022 13:48
D7UY,PANCON HARMONY,REPUBLIC OF KOREA,6/18/2022,6/18/2022,INCHEON,6/18/2022 12:12,HAIPHONG,6/18/2022 17:29
9VJJ8,WAN HAI 510,SINGAPORE,6/18/2022,,"SHEKOU, SHENZHEN",6/18/2022 12:13,,
V2CH5,OKEE PIPER,ANTIGUA & BARBUDA,6/18/2022,6/19/2022,"SHEKOU, SHENZHEN",6/18/2022 12:44,MANILA,6/19/2022 1:02
VRNI6,COSCO PORTUGAL,"HONG KONG, CHINA",6/17/2022,6/18/2022,"NANSHA, PANYU",6/17/2022 15:47,"YANTIAN, SHENZHEN",6/18/2022 14:34
V7A5115,TS DALIAN,MARSHALL ISLANDS,6/18/2022,,"SHEKOU, SHENZHEN",6/18/2022 12:53,,
9HA4350,GUANGZHOU TRADER,MALTA,6/17/2022,6/18/2022,LAEM CHABANG,6/17/2022 17:47,KAOHSIUNG,6/18/2022 14:38
VRLY7,COSCO VALENCIA,"HONG KONG, CHINA",6/18/2022,6/19/2022,"NANSHA, PANYU",6/18/2022 13:41,HAIPHONG,6/19/2022 1:08
3EKX8,RUN XING,PANAMA,6/16/2022,6/18/2022,HAIPHONG,6/16/2022 7:05,"SHEKOU, SHENZHENHAIPHONG",6/18/2022 15:01
DSOA8,KMTC JAKARTA,REPUBLIC OF KOREA,6/18/2022,,LAEM CHABANG,6/18/2022 13:56,,
