Date/Time,COL,NG,NUC,OTH,SUN,WAT,WND
2018-07-01 01:00:00-04:00,0,7324,5316,1058,0,2544,567
2018-07-01 02:00:00-04:00,0,6359,5281,1083,0,2486,527
2018-07-01 03:00:00-04:00,0,5616,5093,776,0,2354,552
2018-07-01 04:00:00-04:00,0,5418,5082,666,0,2276,482
2018-07-01 05:00:00-04:00,0,5334,5086,621,0,2249,342
2018-07-01 06:00:00-04:00,0,5397,5078,637,0,2240,265
2018-07-01 07:00:00-04:00,0,5818,4981,602,0,2446,183
2018-07-01 08:00:00-04:00,0,6857,5271,637,0,2817,155
2018-07-01 09:00:00-04:00,0,7402,5265,683,0,3247,111
2018-07-01 10:00:00-04:00,0,8967,5295,756,0,3308,34
2018-07-01 11:00:00-04:00,0,10232,5297,995,0,3617,16
2018-07-01 12:00:00-04:00,0,11774,5281,952,0,3708,16
2018-07-01 13:00:00-04:00,0,12968,5288,1026,0,3767,11
2018-07-01 14:00:00-04:00,0,13958,5286,1056,0,3874,3
2018-07-01 15:00:00-04:00,0,14391,5292,1064,0,3912,0
2018-07-01 16:00:00-04:00,0,14919,5296,1061,0,4441,13
2018-07-01 17:00:00-04:00,0,15121,5297,1053,0,4620,18
2018-07-01 18:00:00-04:00,0,15220,5306,1026,0,4544,29
2018-07-01 19:00:00-04:00,0,15127,5325,1037,0,4172,32
2018-07-01 20:00:00-04:00,0,14872,5331,1042,0,3887,37
2018-07-01 21:00:00-04:00,0,14508,5318,1039,0,3637,62
2018-07-01 22:00:00-04:00,0,13790,5315,1039,0,3730,127
2018-07-01 23:00:00-04:00,0,12209,5318,1036,0,3272,184
2018-07-02 00:00:00-04:00,0,10500,5281,1300,0,3154,244
2018-07-02 01:00:00-04:00,0,9635,5258,1277,0,2784,369
2018-07-02 02:00:00-04:00,0,8449,5195,1232,0,2321,439
2018-07-02 03:00:00-04:00,0,7793,5201,1184,0,2315,469
2018-07-02 04:00:00-04:00,0,7562,5145,1069,0,2354,464
2018-07-02 05:00:00-04:00,0,7478,5155,1011,0,2308,499
2018-07-02 06:00:00-04:00,0,7787,5183,1055,0,2406,564
2018-07-02 07:00:00-04:00,0,8894,5269,964,0,2617,481
2018-07-02 08:00:00-04:00,0,10099,5278,1050,0,3111,353
2018-07-02 09:00:00-04:00,0,11244,5306,1068,0,3237,222
2018-07-02 10:00:00-04:00,0,12844,5312,1255,0,3238,172
2018-07-02 11:00:00-04:00,0,14070,5329,943,0,3376,213
2018-07-02 12:00:00-04:00,0,14963,5327,959,0,3639,284
2018-07-02 13:00:00-04:00,0,15542,5312,989,0,4016,260
2018-07-02 14:00:00-04:00,0,16351,5296,959,0,4353,233
2018-07-02 15:00:00-04:00,0,16418,5296,906,0,4425,238
2018-07-02 16:00:00-04:00,0,16201,5295,834,0,4420,455
2018-07-02 17:00:00-04:00,0,16339,5291,864,0,4505,451
2018-07-02 18:00:00-04:00,0,16081,5296,856,0,4458,530
2018-07-02 19:00:00-04:00,0,15733,5306,855,0,4336,455
2018-07-02 20:00:00-04:00,0,15623,5301,854,0,3809,539
2018-07-02 21:00:00-04:00,0,15502,5298,848,0,3467,571
2018-07-02 22:00:00-04:00,0,14515,5291,849,0,3317,662
2018-07-02 23:00:00-04:00,0,12579,5314,851,0,2776,718
2018-07-03 00:00:00-04:00,0,11051,5310,1295,0,2623,626
2018-07-03 01:00:00-04:00,0,9538,5299,1169,0,2676,567
2018-07-03 02:00:00-04:00,0,8974,5228,752,0,2482,491
2018-07-03 03:00:00-04:00,0,8549,5122,606,0,2607,341
2018-07-03 04:00:00-04:00,0,8333,5104,603,0,2665,219
2018-07-03 05:00:00-04:00,0,8108,5105,773,0,2408,144
2018-07-03 06:00:00-04:00,0,8407,5198,1070,0,2402,82
2018-07-03 07:00:00-04:00,0,9373,5298,1035,0,2514,72
2018-07-03 08:00:00-04:00,0,10430,5301,850,0,2993,65
2018-07-03 09:00:00-04:00,0,11501,5306,972,0,3360,39
2018-07-03 10:00:00-04:00,0,12804,5319,885,0,3743,31
2018-07-03 11:00:00-04:00,0,13646,5306,821,0,3807,32
2018-07-03 12:00:00-04:00,0,14689,5303,902,0,3928,32
2018-07-03 13:00:00-04:00,0,15579,5305,883,0,3982,21
2018-07-03 14:00:00-04:00,0,16096,5305,780,0,4325,20
2018-07-03 15:00:00-04:00,0,16092,5298,909,0,4220,26
2018-07-03 16:00:00-04:00,0,16522,5290,711,0,4300,47
2018-07-03 17:00:00-04:00,0,16770,5286,693,0,4196,72
2018-07-03 18:00:00-04:00,0,16591,5285,883,0,4236,102
2018-07-03 19:00:00-04:00,0,16167,5284,863,0,3891,78
2018-07-03 20:00:00-04:00,0,15266,5287,884,0,3642,53
2018-07-03 21:00:00-04:00,0,14387,5277,884,0,3388,85
2018-07-03 22:00:00-04:00,0,13419,5282,842,0,3336,101
2018-07-03 23:00:00-04:00,0,11883,5276,853,0,2866,101
2018-07-04 00:00:00-04:00,0,10584,5259,859,0,2702,78
2018-07-04 01:00:00-04:00,0,8707,5272,952,0,2549,49
2018-07-04 02:00:00-04:00,0,7652,5245,776,0,2469,49
2018-07-04 03:00:00-04:00,0,7194,5052,597,0,2370,46
2018-07-04 04:00:00-04:00,0,6913,5027,600,0,2343,48
2018-07-04 05:00:00-04:00,0,6772,5022,599,0,2355,60
2018-07-04 06:00:00-04:00,0,6797,5019,602,0,2220,72
2018-07-04 07:00:00-04:00,0,7404,5036,619,0,2437,84
2018-07-04 08:00:00-04:00,0,8496,5219,744,0,2969,72
2018-07-04 09:00:00-04:00,0,8921,5215,697,0,3653,33
2018-07-04 10:00:00-04:00,0,10161,5207,988,0,3466,39
2018-07-04 11:00:00-04:00,0,11994,5228,668,0,3485,25
2018-07-04 12:00:00-04:00,0,13376,5250,605,0,3609,46
2018-07-04 13:00:00-04:00,0,14014,5300,633,0,3587,29
2018-07-04 14:00:00-04:00,0,14308,5296,879,0,3741,5
2018-07-04 15:00:00-04:00,0,14678,5278,909,0,3774,7
2018-07-04 16:00:00-04:00,0,14881,5279,903,0,3774,25
2018-07-04 17:00:00-04:00,0,15043,5262,892,0,3768,52
2018-07-04 18:00:00-04:00,0,15423,5272,892,0,3758,32
2018-07-04 19:00:00-04:00,0,15078,5276,888,0,3704,30
2018-07-04 20:00:00-04:00,0,13846,5282,894,0,3488,36
2018-07-04 21:00:00-04:00,0,13249,5277,882,0,3422,52
2018-07-04 22:00:00-04:00,0,12490,5262,882,0,3545,84
2018-07-04 23:00:00-04:00,0,11041,5249,875,0,3514,160
