Date/Time,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2021-07-31 19:00:00-05:00,0,6988,3232,589,186,0,3562,177
2021-07-31 20:00:00-05:00,0,6872,3227,593,180,0,3686,194
2021-07-31 21:00:00-05:00,0,6460,3230,593,183,0,3409,251
2021-07-31 22:00:00-05:00,0,5972,3219,591,190,0,2954,255
2021-07-31 23:00:00-05:00,0,5437,3221,592,191,0,2581,247
2021-08-01 00:00:00-05:00,0,4256,3202,589,190,0,2535,312
2021-08-01 01:00:00-05:00,0,3729,3191,587,189,0,2364,355
2021-08-01 02:00:00-05:00,0,3492,3101,570,181,0,2255,329
2021-08-01 03:00:00-05:00,0,3383,3088,570,179,0,2336,337
2021-08-01 04:00:00-05:00,0,3564,3094,569,184,0,2281,389
2021-08-01 05:00:00-05:00,0,3781,3200,579,191,0,2178,422
2021-08-01 06:00:00-05:00,0,4200,3216,591,192,0,2039,405
2021-08-01 07:00:00-05:00,0,4346,3213,559,193,0,2521,244
2021-08-01 08:00:00-05:00,0,4582,3214,587,203,0,2918,192
2021-08-01 09:00:00-05:00,0,4842,3226,585,207,0,3010,172
2021-08-01 10:00:00-05:00,0,5154,3216,582,205,0,3176,109
2021-08-01 11:00:00-05:00,0,5888,3220,579,210,0,3175,34
2021-08-01 12:00:00-05:00,0,6456,3221,580,208,0,3255,48
2021-08-01 13:00:00-05:00,0,6486,3231,581,207,0,3177,57
2021-08-01 14:00:00-05:00,0,6466,3230,581,208,0,3153,97
2021-08-01 15:00:00-05:00,0,6376,3233,582,206,0,2916,136
2021-08-01 16:00:00-05:00,0,6762,3230,581,209,0,3096,96
2021-08-01 17:00:00-05:00,0,7007,3229,583,202,0,3240,90
2021-08-01 18:00:00-05:00,0,7238,3229,562,196,0,3250,53
2021-08-01 19:00:00-05:00,0,7190,3229,583,193,0,3242,94
2021-08-01 20:00:00-05:00,0,7147,3225,584,193,0,3242,52
2021-08-01 21:00:00-05:00,0,6968,3226,585,196,0,3199,48
2021-08-01 22:00:00-05:00,0,6615,3229,586,191,0,3084,30
2021-08-01 23:00:00-05:00,0,5703,3231,587,183,0,2656,34
2021-08-02 00:00:00-05:00,0,4881,3230,587,175,0,2367,64
2021-08-02 01:00:00-05:00,0,4573,3227,586,176,0,2318,88
2021-08-02 02:00:00-05:00,0,4282,3219,585,174,0,2491,149
2021-08-02 03:00:00-05:00,0,4142,3223,586,171,0,2446,170
2021-08-02 04:00:00-05:00,0,4537,3239,588,171,0,2241,205
2021-08-02 05:00:00-05:00,0,4980,3254,591,175,0,2471,192
2021-08-02 06:00:00-05:00,0,5491,3250,591,171,0,2853,237
2021-08-02 07:00:00-05:00,0,6097,3239,588,174,0,3376,234
2021-08-02 08:00:00-05:00,0,6667,3242,587,185,0,3505,153
2021-08-02 09:00:00-05:00,0,7166,3232,585,196,0,3528,162
2021-08-02 10:00:00-05:00,0,7241,3231,585,197,0,3521,171
2021-08-02 11:00:00-05:00,0,7547,3234,585,202,0,3515,265
2021-08-02 12:00:00-05:00,0,7787,3242,604,194,0,3576,361
2021-08-02 13:00:00-05:00,0,8136,3239,605,194,0,3541,399
2021-08-02 14:00:00-05:00,0,8262,3235,605,190,0,3560,351
2021-08-02 15:00:00-05:00,0,8416,3221,605,184,0,3606,406
2021-08-02 16:00:00-05:00,0,8667,3236,608,189,0,3720,319
2021-08-02 17:00:00-05:00,0,9017,3233,607,181,0,3876,247
2021-08-02 18:00:00-05:00,0,9016,3229,608,177,0,3949,186
2021-08-02 19:00:00-05:00,0,8891,3237,616,174,0,3842,130
2021-08-02 20:00:00-05:00,0,8477,3250,602,174,0,3773,237
2021-08-02 21:00:00-05:00,0,7989,3244,596,170,0,3620,323
2021-08-02 22:00:00-05:00,0,7401,3255,598,168,0,3100,353
2021-08-02 23:00:00-05:00,0,6363,3254,597,169,0,2644,434
2021-08-03 00:00:00-05:00,0,5101,3242,596,170,0,2722,519
2021-08-03 01:00:00-05:00,0,4618,3237,595,170,0,2741,548
2021-08-03 02:00:00-05:00,0,4296,3234,597,169,0,2680,576
2021-08-03 03:00:00-05:00,0,4187,3146,581,167,0,2657,517
2021-08-03 04:00:00-05:00,0,4230,3151,583,166,0,2682,467
2021-08-03 05:00:00-05:00,0,4488,3225,598,167,0,2861,477
2021-08-03 06:00:00-05:00,0,5416,3227,597,168,0,3211,482
2021-08-03 07:00:00-05:00,0,5995,3232,598,179,0,3422,419
2021-08-03 08:00:00-05:00,0,6564,3241,596,182,0,3429,299
2021-08-03 09:00:00-05:00,0,6896,3235,596,185,0,3448,342
2021-08-03 10:00:00-05:00,0,6952,3244,592,186,0,3455,484
2021-08-03 11:00:00-05:00,0,7150,3246,583,190,0,3399,476
2021-08-03 12:00:00-05:00,0,7678,3253,595,181,0,3519,430
2021-08-03 13:00:00-05:00,0,8066,3259,598,180,0,3601,352
2021-08-03 14:00:00-05:00,0,8334,3268,595,188,0,3562,311
