Date/Time,Coal,Hydro,Natural gas,Nuclear,Other,Petroleum,Solar,Wind
2021-07-31 19:00:00-05:00,0,3562,6988,3232,186,589,0,177
2021-07-31 20:00:00-05:00,0,3686,6872,3227,180,593,0,194
2021-07-31 21:00:00-05:00,0,3409,6460,3230,183,593,0,251
2021-07-31 22:00:00-05:00,0,2954,5972,3219,190,591,0,255
2021-07-31 23:00:00-05:00,0,2581,5437,3221,191,592,0,247
2021-08-01 00:00:00-05:00,0,2535,4256,3202,190,589,0,312
2021-08-01 01:00:00-05:00,0,2364,3729,3191,189,587,0,355
2021-08-01 02:00:00-05:00,0,2255,3492,3101,181,570,0,329
2021-08-01 03:00:00-05:00,0,2336,3383,3088,179,570,0,337
2021-08-01 04:00:00-05:00,0,2281,3564,3094,184,569,0,389
2021-08-01 05:00:00-05:00,0,2178,3781,3200,191,579,0,422
2021-08-01 06:00:00-05:00,0,2039,4200,3216,192,591,0,405
2021-08-01 07:00:00-05:00,0,2521,4346,3213,193,559,0,244
2021-08-01 08:00:00-05:00,0,2918,4582,3214,203,587,0,192
2021-08-01 09:00:00-05:00,0,3010,4842,3226,207,585,0,172
2021-08-01 10:00:00-05:00,0,3176,5154,3216,205,582,0,109
2021-08-01 11:00:00-05:00,0,3175,5888,3220,210,579,0,34
2021-08-01 12:00:00-05:00,0,3255,6456,3221,208,580,0,48
2021-08-01 13:00:00-05:00,0,3177,6486,3231,207,581,0,57
2021-08-01 14:00:00-05:00,0,3153,6466,3230,208,581,0,97
2021-08-01 15:00:00-05:00,0,2916,6376,3233,206,582,0,136
2021-08-01 16:00:00-05:00,0,3096,6762,3230,209,581,0,96
2021-08-01 17:00:00-05:00,0,3240,7007,3229,202,583,0,90
2021-08-01 18:00:00-05:00,0,3250,7238,3229,196,562,0,53
2021-08-01 19:00:00-05:00,0,3242,7190,3229,193,583,0,94
2021-08-01 20:00:00-05:00,0,3242,7147,3225,193,584,0,52
2021-08-01 21:00:00-05:00,0,3199,6968,3226,196,585,0,48
2021-08-01 22:00:00-05:00,0,3084,6615,3229,191,586,0,30
2021-08-01 23:00:00-05:00,0,2656,5703,3231,183,587,0,34
2021-08-02 00:00:00-05:00,0,2367,4881,3230,175,587,0,64
2021-08-02 01:00:00-05:00,0,2318,4573,3227,176,586,0,88
2021-08-02 02:00:00-05:00,0,2491,4282,3219,174,585,0,149
2021-08-02 03:00:00-05:00,0,2446,4142,3223,171,586,0,170
2021-08-02 04:00:00-05:00,0,2241,4537,3239,171,588,0,205
2021-08-02 05:00:00-05:00,0,2471,4980,3254,175,591,0,192
2021-08-02 06:00:00-05:00,0,2853,5491,3250,171,591,0,237
2021-08-02 07:00:00-05:00,0,3376,6097,3239,174,588,0,234
2021-08-02 08:00:00-05:00,0,3505,6667,3242,185,587,0,153
2021-08-02 09:00:00-05:00,0,3528,7166,3232,196,585,0,162
2021-08-02 10:00:00-05:00,0,3521,7241,3231,197,585,0,171
2021-08-02 11:00:00-05:00,0,3515,7547,3234,202,585,0,265
2021-08-02 12:00:00-05:00,0,3576,7787,3242,194,604,0,361
2021-08-02 13:00:00-05:00,0,3541,8136,3239,194,605,0,399
2021-08-02 14:00:00-05:00,0,3560,8262,3235,190,605,0,351
2021-08-02 15:00:00-05:00,0,3606,8416,3221,184,605,0,406
2021-08-02 16:00:00-05:00,0,3720,8667,3236,189,608,0,319
2021-08-02 17:00:00-05:00,0,3876,9017,3233,181,607,0,247
2021-08-02 18:00:00-05:00,0,3949,9016,3229,177,608,0,186
2021-08-02 19:00:00-05:00,0,3842,8891,3237,174,616,0,130
2021-08-02 20:00:00-05:00,0,3773,8477,3250,174,602,0,237
2021-08-02 21:00:00-05:00,0,3620,7989,3244,170,596,0,323
2021-08-02 22:00:00-05:00,0,3100,7401,3255,168,598,0,353
2021-08-02 23:00:00-05:00,0,2644,6363,3254,169,597,0,434
2021-08-03 00:00:00-05:00,0,2722,5101,3242,170,596,0,519
2021-08-03 01:00:00-05:00,0,2741,4618,3237,170,595,0,548
2021-08-03 02:00:00-05:00,0,2680,4296,3234,169,597,0,576
2021-08-03 03:00:00-05:00,0,2657,4187,3146,167,581,0,517
2021-08-03 04:00:00-05:00,0,2682,4230,3151,166,583,0,467
2021-08-03 05:00:00-05:00,0,2861,4488,3225,167,598,0,477
2021-08-03 06:00:00-05:00,0,3211,5416,3227,168,597,0,482
2021-08-03 07:00:00-05:00,0,3422,5995,3232,179,598,0,419
2021-08-03 08:00:00-05:00,0,3429,6564,3241,182,596,0,299
2021-08-03 09:00:00-05:00,0,3448,6896,3235,185,596,0,342
2021-08-03 10:00:00-05:00,0,3455,6952,3244,186,592,0,484
2021-08-03 11:00:00-05:00,0,3399,7150,3246,190,583,0,476
2021-08-03 12:00:00-05:00,0,3519,7678,3253,181,595,0,430
2021-08-03 13:00:00-05:00,0,3601,8066,3259,180,598,0,352
