Date/Time,COL,NG,NUC,OTH,SUN,WAT,WND
2018-07-02 01:00:00-05:00,12538,19898,5029,19,0,0,9253
2018-07-02 02:00:00-05:00,12951,19214,5030,19,0,0,7030
2018-07-02 03:00:00-05:00,12915,19130,5030,14,0,0,5346
2018-07-02 04:00:00-05:00,12635,18832,5030,17,0,0,4706
2018-07-02 05:00:00-05:00,11934,18291,5030,22,0,0,5444
2018-07-02 06:00:00-05:00,11804,18777,5031,29,0,0,5810
2018-07-02 07:00:00-05:00,12301,19942,5031,28,0,42,5123
2018-07-02 08:00:00-05:00,13030,20963,5031,30,134,59,4619
2018-07-02 09:00:00-05:00,13868,23532,5032,32,570,72,3624
2018-07-02 10:00:00-05:00,14107,25886,5032,67,828,100,4212
2018-07-02 11:00:00-05:00,14575,29129,5029,117,1002,114,4171
2018-07-02 12:00:00-05:00,14806,32935,5029,126,1051,85,3718
2018-07-02 13:00:00-05:00,14622,36229,5028,126,1044,25,4070
2018-07-02 14:00:00-05:00,14479,38794,5026,127,1126,35,4639
2018-07-02 15:00:00-05:00,14635,40080,5025,126,1075,106,5723
2018-07-02 16:00:00-05:00,14884,40802,5022,130,922,132,6272
2018-07-02 17:00:00-05:00,14944,40776,5021,124,624,133,7079
2018-07-02 18:00:00-05:00,14957,39969,5019,120,304,134,8004
2018-07-02 19:00:00-05:00,14955,38519,5018,117,241,113,9087
2018-07-02 20:00:00-05:00,14965,36730,5017,113,90,49,9099
2018-07-02 21:00:00-05:00,14957,35025,5017,93,4,45,8224
2018-07-02 22:00:00-05:00,14878,32055,5018,84,0,8,8859
2018-07-02 23:00:00-05:00,14489,26380,5019,81,0,0,10744
2018-07-03 00:00:00-05:00,13201,21912,5021,84,0,0,12039
2018-07-03 01:00:00-05:00,11769,21009,5022,86,0,0,9950
2018-07-03 02:00:00-05:00,13406,20013,5022,88,0,4,6322
2018-07-03 03:00:00-05:00,13852,19175,5022,83,0,4,4671
2018-07-03 04:00:00-05:00,13362,18445,5022,82,0,4,4465
2018-07-03 05:00:00-05:00,12972,18185,5021,85,0,4,4550
2018-07-03 06:00:00-05:00,12642,18743,5021,91,0,37,4747
2018-07-03 07:00:00-05:00,11449,20704,5021,99,0,38,5240
2018-07-03 08:00:00-05:00,11960,21352,5022,96,132,63,5088
2018-07-03 09:00:00-05:00,12851,23066,5023,98,548,76,4709
2018-07-03 10:00:00-05:00,13240,24853,5023,98,1071,104,5890
2018-07-03 11:00:00-05:00,14082,27464,5027,97,1142,121,6793
2018-07-03 12:00:00-05:00,14589,31291,5027,111,1185,93,6563
2018-07-03 13:00:00-05:00,14873,35034,5023,124,1186,63,5741
2018-07-03 14:00:00-05:00,14903,38068,5020,125,1205,64,5621
2018-07-03 15:00:00-05:00,14893,40549,5019,123,1188,100,5677
2018-07-03 16:00:00-05:00,14856,41322,5017,126,1119,161,6051
2018-07-03 17:00:00-05:00,14903,41641,5018,131,972,151,6306
2018-07-03 18:00:00-05:00,14989,40913,5016,131,850,151,6707
2018-07-03 19:00:00-05:00,15046,40029,5015,132,582,125,6893
2018-07-03 20:00:00-05:00,15244,38004,5014,131,243,44,6867
2018-07-03 21:00:00-05:00,15316,35045,5014,111,29,42,6758
2018-07-03 22:00:00-05:00,15195,30465,5016,99,0,8,8116
2018-07-03 23:00:00-05:00,14067,25557,5016,103,0,8,10101
2018-07-04 00:00:00-05:00,12354,21910,5015,102,0,0,11206
2018-07-04 01:00:00-05:00,11374,18783,5016,101,0,0,12084
2018-07-04 02:00:00-05:00,10442,16970,5016,101,0,23,11685
2018-07-04 03:00:00-05:00,9208,16371,5016,101,0,3,11040
2018-07-04 04:00:00-05:00,8561,16243,5016,101,0,0,10178
2018-07-04 05:00:00-05:00,8517,16160,5017,101,0,0,9543
2018-07-04 06:00:00-05:00,8870,16521,5017,101,0,0,8775
2018-07-04 07:00:00-05:00,9415,17121,5017,100,0,0,7487
2018-07-04 08:00:00-05:00,9471,17946,5018,100,164,44,6368
2018-07-04 09:00:00-05:00,10228,20562,5019,100,808,68,4655
2018-07-04 10:00:00-05:00,11142,22584,5021,100,1135,69,4473
2018-07-04 11:00:00-05:00,13051,25101,5022,100,1175,69,3383
2018-07-04 12:00:00-05:00,14490,28116,5022,119,1186,68,2093
2018-07-04 13:00:00-05:00,14923,30574,5023,132,1185,33,1707
2018-07-04 14:00:00-05:00,15088,31143,5023,128,1190,38,2181
2018-07-04 15:00:00-05:00,15223,29980,5023,127,1100,111,3508
2018-07-04 16:00:00-05:00,14982,28246,5024,126,1093,114,5419
2018-07-04 17:00:00-05:00,14404,26969,5023,127,1048,130,6898
2018-07-04 18:00:00-05:00,13553,25777,5024,126,978,141,8021
2018-07-04 19:00:00-05:00,12447,24786,5024,120,794,86,9160
2018-07-04 20:00:00-05:00,11051,23598,5024,118,531,48,10254
2018-07-04 21:00:00-05:00,10937,23083,5024,101,69,48,9877
2018-07-04 22:00:00-05:00,10778,22420,5024,94,0,48,9438
2018-07-04 23:00:00-05:00,10608,20704,5025,96,0,33,9194
2018-07-05 00:00:00-05:00,10116,19278,5025,98,0,25,8522
2018-07-05 01:00:00-05:00,9464,18266,5027,97,0,6,7345
2018-07-05 02:00:00-05:00,9461,17677,5027,99,0,25,5954
2018-07-05 03:00:00-05:00,9555,17610,5028,99,0,0,4385
2018-07-05 04:00:00-05:00,9497,17447,5029,98,0,0,3669
2018-07-05 05:00:00-05:00,9439,17457,5029,99,0,0,3613
2018-07-05 06:00:00-05:00,9881,18252,5031,98,0,0,3373
2018-07-05 07:00:00-05:00,10294,19394,5031,97,0,0,3044
2018-07-05 08:00:00-05:00,10797,20495,5031,98,105,43,2670
2018-07-05 09:00:00-05:00,11635,21781,5031,98,558,67,2970
2018-07-05 10:00:00-05:00,12694,23891,5030,100,639,66,3523
2018-07-05 11:00:00-05:00,13767,26633,5029,65,644,67,3423
2018-07-05 12:00:00-05:00,14103,29427,5028,28,760,67,3807
2018-07-05 13:00:00-05:00,14396,31645,5026,26,863,34,4243
2018-07-05 14:00:00-05:00,14491,33772,5024,29,931,38,4625
2018-07-05 15:00:00-05:00,14460,34865,5023,26,961,107,5103
2018-07-05 16:00:00-05:00,14439,35658,5024,30,949,112,5554
2018-07-05 17:00:00-05:00,14474,36906,5025,35,789,86,5491
2018-07-05 18:00:00-05:00,14473,37022,5024,28,698,85,5515
