GEOID,County,Population,State,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title
9001,"Fairfield County, Connecticut",957419,Connecticut,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA"
23011,"Kennebec County, Maine",123642,Maine,"Augusta-Waterville, ME",Micropolitan Statistical Area,,
23019,"Penobscot County, Maine",152199,Maine,"Bangor, ME",Metropolitan Statistical Area,,
36001,"Albany County, New York",314848,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY"
36083,"Rensselaer County, New York",161130,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY"
36091,"Saratoga County, New York",235509,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY"
36093,"Schenectady County, New York",158061,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY"
24003,"Anne Arundel County, Maryland",588261,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
36095,"Schoharie County, New York",29714,New York,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY"
24005,"Baltimore County, Maryland",854535,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24013,"Carroll County, Maryland",172891,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24019,"Dorchester County, Maryland",32531,Maryland,"Cambridge, MD",Micropolitan Statistical Area,,"Salisbury-Cambridge, MD-DE"
24025,"Harford County, Maryland",260924,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24027,"Howard County, Maryland",332317,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
24035,"Queen Anne's County, Maryland",49874,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
34041,"Warren County, New Jersey",109632,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,
24037,"St. Mary's County, Maryland",113777,Maryland,"California-Lexington Park, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
42025,"Carbon County, Pennsylvania",64749,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,
42077,"Lehigh County, Pennsylvania",374557,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,
42095,"Northampton County, Pennsylvania",312951,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,
42013,"Blair County, Pennsylvania",122822,Pennsylvania,"Altoona, PA",Metropolitan Statistical Area,,"Altoona-Huntingdon, PA"
24510,"Baltimore city, Maryland",585708,Maryland,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
25001,"Barnstable County, Massachusetts",228996,Massachusetts,"Barnstable Town, MA",Metropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH-CT"
25009,"Essex County, Massachusetts",809829,Massachusetts,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Cambridge-Newton-Framingham, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
25017,"Middlesex County, Massachusetts",1632002,Massachusetts,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Cambridge-Newton-Framingham, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
36057,"Montgomery County, New York",49532,New York,"Amsterdam, NY",Micropolitan Statistical Area,,"Albany-Schenectady, NY"
25021,"Norfolk County, Massachusetts",725981,Massachusetts,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
25023,"Plymouth County, Massachusetts",530819,Massachusetts,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
25025,"Suffolk County, Massachusetts",797936,Massachusetts,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
33007,"Coos County, New Hampshire",31268,New Hampshire,"Berlin, NH",Micropolitan Statistical Area,,
33013,"Merrimack County, New Hampshire",153808,New Hampshire,"Concord, NH",Micropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH-CT"
33015,"Rockingham County, New Hampshire",314176,New Hampshire,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Rockingham County-Strafford County, NH","Boston-Worcester-Providence, MA-RI-NH-CT"
