Date/Time,Demand megawatthours
2018-07-01 03:00:00-05:00,10681
2018-07-01 04:00:00-05:00,10197
2018-07-01 05:00:00-05:00,9776
2018-07-01 06:00:00-05:00,9508
2018-07-01 07:00:00-05:00,9431
2018-07-01 08:00:00-05:00,9472
2018-07-01 09:00:00-05:00,9353
2018-07-01 10:00:00-05:00,9517
2018-07-01 11:00:00-05:00,9785
2018-07-01 12:00:00-05:00,10137
2018-07-01 13:00:00-05:00,10600
2018-07-01 14:00:00-05:00,11099
2018-07-01 15:00:00-05:00,11671
2018-07-01 16:00:00-05:00,12315
2018-07-01 17:00:00-05:00,12940
2018-07-01 18:00:00-05:00,13611
2018-07-01 19:00:00-05:00,14176
2018-07-01 20:00:00-05:00,14577
2018-07-01 21:00:00-05:00,14699
2018-07-01 22:00:00-05:00,14266
2018-07-01 23:00:00-05:00,14059
2018-07-02 00:00:00-05:00,13609
2018-07-02 01:00:00-05:00,12591
2018-07-02 02:00:00-05:00,11611
2018-07-02 03:00:00-05:00,10715
2018-07-02 04:00:00-05:00,10153
2018-07-02 05:00:00-05:00,9789
2018-07-02 06:00:00-05:00,9651
2018-07-02 07:00:00-05:00,9864
2018-07-02 08:00:00-05:00,10496
2018-07-02 09:00:00-05:00,11015
2018-07-02 10:00:00-05:00,11574
2018-07-02 11:00:00-05:00,12005
2018-07-02 12:00:00-05:00,12517
2018-07-02 13:00:00-05:00,13207
2018-07-02 14:00:00-05:00,13742
2018-07-02 15:00:00-05:00,14189
2018-07-02 16:00:00-05:00,14738
2018-07-02 17:00:00-05:00,15267
2018-07-02 18:00:00-05:00,15841
2018-07-02 19:00:00-05:00,16181
2018-07-02 20:00:00-05:00,16339
2018-07-02 21:00:00-05:00,16206
2018-07-02 22:00:00-05:00,15704
2018-07-02 23:00:00-05:00,15439
2018-07-03 00:00:00-05:00,14924
2018-07-03 01:00:00-05:00,13539
2018-07-03 02:00:00-05:00,12344
2018-07-03 03:00:00-05:00,11465
2018-07-03 04:00:00-05:00,10769
2018-07-03 05:00:00-05:00,10331
2018-07-03 06:00:00-05:00,10125
2018-07-03 07:00:00-05:00,10258
2018-07-03 08:00:00-05:00,10737
2018-07-03 09:00:00-05:00,11262
2018-07-03 10:00:00-05:00,11858
2018-07-03 11:00:00-05:00,12308
2018-07-03 12:00:00-05:00,12561
2018-07-03 13:00:00-05:00,12991
2018-07-03 14:00:00-05:00,13352
2018-07-03 15:00:00-05:00,13667
2018-07-03 16:00:00-05:00,14205
2018-07-03 17:00:00-05:00,14690
2018-07-03 18:00:00-05:00,15241
2018-07-03 19:00:00-05:00,15608
2018-07-03 20:00:00-05:00,15696
2018-07-03 21:00:00-05:00,15459
2018-07-03 22:00:00-05:00,14933
2018-07-03 23:00:00-05:00,14693
2018-07-04 00:00:00-05:00,14197
2018-07-04 01:00:00-05:00,13164
2018-07-04 02:00:00-05:00,12136
2018-07-04 03:00:00-05:00,11415
2018-07-04 04:00:00-05:00,10766
2018-07-04 05:00:00-05:00,10231
2018-07-04 06:00:00-05:00,9926
2018-07-04 07:00:00-05:00,9825
2018-07-04 08:00:00-05:00,9806
2018-07-04 09:00:00-05:00,9653
2018-07-04 10:00:00-05:00,9716
2018-07-04 11:00:00-05:00,9957
2018-07-04 12:00:00-05:00,10328
2018-07-04 13:00:00-05:00,10854
2018-07-04 14:00:00-05:00,11422
2018-07-04 15:00:00-05:00,12080
2018-07-04 16:00:00-05:00,12728
2018-07-04 17:00:00-05:00,13410
2018-07-04 18:00:00-05:00,14003
2018-07-04 19:00:00-05:00,14520
2018-07-04 20:00:00-05:00,14773
2018-07-04 21:00:00-05:00,14517
2018-07-04 22:00:00-05:00,13944
2018-07-04 23:00:00-05:00,13604
2018-07-05 00:00:00-05:00,13144
2018-07-05 01:00:00-05:00,12640
2018-07-05 02:00:00-05:00,11755
2018-07-05 03:00:00-05:00,10945
2018-07-05 04:00:00-05:00,10297
2018-07-05 05:00:00-05:00,9825
2018-07-05 06:00:00-05:00,9646
2018-07-05 07:00:00-05:00,9777
2018-07-05 08:00:00-05:00,10232
2018-07-05 09:00:00-05:00,10649
2018-07-05 10:00:00-05:00,11224
2018-07-05 11:00:00-05:00,11918
2018-07-05 12:00:00-05:00,12611
2018-07-05 13:00:00-05:00,13467
2018-07-05 14:00:00-05:00,14348
2018-07-05 15:00:00-05:00,15362
2018-07-05 16:00:00-05:00,16441
2018-07-05 17:00:00-05:00,17497
2018-07-05 18:00:00-05:00,18479
2018-07-05 19:00:00-05:00,19120
2018-07-05 20:00:00-05:00,19402
2018-07-05 21:00:00-05:00,19144
2018-07-05 22:00:00-05:00,18329
2018-07-05 23:00:00-05:00,17743
2018-07-06 00:00:00-05:00,16800
2018-07-06 01:00:00-05:00,15147
2018-07-06 02:00:00-05:00,13610
2018-07-06 03:00:00-05:00,12514
2018-07-06 04:00:00-05:00,11709
2018-07-06 05:00:00-05:00,11181
2018-07-06 06:00:00-05:00,10838
2018-07-06 07:00:00-05:00,10876
2018-07-06 08:00:00-05:00,11208
2018-07-06 09:00:00-05:00,11612
2018-07-06 10:00:00-05:00,12565
2018-07-06 11:00:00-05:00,13773
2018-07-06 12:00:00-05:00,15231
2018-07-06 13:00:00-05:00,16893
2018-07-06 14:00:00-05:00,18682
2018-07-06 15:00:00-05:00,20313
2018-07-06 16:00:00-05:00,21828
2018-07-06 17:00:00-05:00,22980
2018-07-06 18:00:00-05:00,23728
2018-07-06 19:00:00-05:00,24061
2018-07-06 20:00:00-05:00,23872
2018-07-06 21:00:00-05:00,23503
2018-07-06 22:00:00-05:00,22846
2018-07-06 23:00:00-05:00,22235
2018-07-07 00:00:00-05:00,21204
2018-07-07 01:00:00-05:00,19568
2018-07-07 02:00:00-05:00,17824
2018-07-07 03:00:00-05:00,16253
2018-07-07 04:00:00-05:00,15018
2018-07-07 05:00:00-05:00,14054
2018-07-07 06:00:00-05:00,13398
2018-07-07 07:00:00-05:00,13019
2018-07-07 08:00:00-05:00,12862
2018-07-07 09:00:00-05:00,12764
2018-07-07 10:00:00-05:00,13443
2018-07-07 11:00:00-05:00,14760
2018-07-07 12:00:00-05:00,16320
2018-07-07 13:00:00-05:00,17955
2018-07-07 14:00:00-05:00,19392
2018-07-07 15:00:00-05:00,20344
2018-07-07 16:00:00-05:00,20880
2018-07-07 17:00:00-05:00,21006
2018-07-07 18:00:00-05:00,21179
