date,TAVG,TMAX,TMIN
2010-01-01,,69.0,50.0
2010-01-02,,76.0,55.0
2010-01-03,,80.0,52.0
2010-01-04,,75.0,53.0
2010-01-05,,76.0,52.0
2010-01-06,,73.0,51.0
2010-01-07,,67.0,48.0
2010-01-08,,77.0,50.0
2010-01-09,,75.0,57.0
2010-01-10,,74.0,52.0
2010-01-11,,77.0,50.0
2010-01-12,,66.0,52.0
2010-01-13,,63.0,53.0
2010-01-14,,71.0,50.0
2010-01-15,,73.0,50.0
2010-01-16,,68.0,53.0
2010-01-17,,63.0,52.0
2010-01-18,,62.0,53.0
2010-01-19,,59.0,50.0
2010-01-20,,58.0,50.0
2010-01-21,,58.0,50.0
2010-01-22,,54.0,47.0
2010-01-23,,58.0,43.0
2010-01-24,,60.0,44.0
2010-01-25,,64.0,44.0
2010-01-26,,58.0,47.0
2010-01-27,,66.0,53.0
2010-01-28,,67.0,46.0
2010-01-29,,64.0,49.0
2010-01-30,,59.0,48.0
2010-01-31,,62.0,46.0
2010-02-01,,64.0,49.0
2010-02-02,,61.0,51.0
2010-02-03,,65.0,49.0
2010-02-04,,63.0,53.0
2010-02-05,,56.0,53.0
2010-02-06,,59.0,52.0
2010-02-07,,60.0,44.0
2010-02-08,,60.0,48.0
2010-02-09,,57.0,44.0
2010-02-10,,62.0,41.0
2010-02-11,,62.0,47.0
2010-02-12,,62.0,49.0
2010-02-13,,68.0,49.0
2010-02-14,,77.0,51.0
2010-02-15,,79.0,54.0
2010-02-16,,80.0,53.0
2010-02-17,,75.0,54.0
2010-02-18,,62.0,55.0
2010-02-19,,60.0,53.0
2010-02-20,,60.0,51.0
2010-02-21,,62.0,53.0
2010-02-22,,70.0,53.0
2010-02-23,,65.0,46.0
2010-02-24,,62.0,52.0
2010-02-25,,65.0,53.0
2010-02-26,,71.0,54.0
2010-02-27,,61.0,51.0
2010-02-28,,63.0,46.0
2010-03-01,,65.0,50.0
2010-03-02,,63.0,55.0
2010-03-03,,62.0,54.0
2010-03-04,,60.0,51.0
2010-03-05,,64.0,47.0
2010-03-06,,61.0,51.0
2010-03-07,,63.0,50.0
2010-03-08,,61.0,52.0
2010-03-09,,60.0,48.0
2010-03-10,,61.0,50.0
2010-03-11,,64.0,46.0
