GEOID,Geographic Area Name,Population
0500000US01001,"Autauga County, Alabama",58805
0500000US01003,"Baldwin County, Alabama",231767
0500000US01005,"Barbour County, Alabama",25223
0500000US01007,"Bibb County, Alabama",22293
0500000US01009,"Blount County, Alabama",59134
0500000US01011,"Bullock County, Alabama",10357
0500000US01013,"Butler County, Alabama",19051
0500000US01015,"Calhoun County, Alabama",116441
0500000US01017,"Chambers County, Alabama",34772
0500000US01019,"Cherokee County, Alabama",24971
0500000US01021,"Chilton County, Alabama",45014
0500000US01023,"Choctaw County, Alabama",12665
0500000US01025,"Clarke County, Alabama",23087
0500000US01027,"Clay County, Alabama",14236
0500000US01029,"Cleburne County, Alabama",15056
0500000US01031,"Coffee County, Alabama",53465
0500000US01033,"Colbert County, Alabama",57227
0500000US01035,"Conecuh County, Alabama",11597
0500000US01037,"Coosa County, Alabama",10387
0500000US01039,"Covington County, Alabama",37570
0500000US01041,"Crenshaw County, Alabama",13194
0500000US01043,"Cullman County, Alabama",87866
0500000US01045,"Dale County, Alabama",49326
0500000US01047,"Dallas County, Alabama",38462
0500000US01049,"DeKalb County, Alabama",71608
0500000US01051,"Elmore County, Alabama",87977
0500000US01053,"Escambia County, Alabama",36757
0500000US01055,"Etowah County, Alabama",103436
0500000US01057,"Fayette County, Alabama",16321
0500000US01059,"Franklin County, Alabama",32113
0500000US01061,"Geneva County, Alabama",26659
0500000US01063,"Greene County, Alabama",7730
0500000US01065,"Hale County, Alabama",14785
0500000US01067,"Henry County, Alabama",17146
0500000US01069,"Houston County, Alabama",107202
0500000US01071,"Jackson County, Alabama",52579
0500000US01073,"Jefferson County, Alabama",674721
0500000US01075,"Lamar County, Alabama",13972
0500000US01077,"Lauderdale County, Alabama",93564
0500000US01079,"Lawrence County, Alabama",33073
0500000US01081,"Lee County, Alabama",174241
0500000US01083,"Limestone County, Alabama",103570
0500000US01085,"Lowndes County, Alabama",10311
0500000US01087,"Macon County, Alabama",19532
0500000US01089,"Madison County, Alabama",388153
0500000US01091,"Marengo County, Alabama",19323
0500000US01093,"Marion County, Alabama",29341
0500000US01095,"Marshall County, Alabama",97612
0500000US01097,"Mobile County, Alabama",414809
0500000US01099,"Monroe County, Alabama",19772
0500000US01101,"Montgomery County, Alabama",228954
0500000US01103,"Morgan County, Alabama",123421
0500000US01105,"Perry County, Alabama",8511
0500000US01107,"Pickens County, Alabama",19123
0500000US01109,"Pike County, Alabama",33009
0500000US01111,"Randolph County, Alabama",21967
0500000US01113,"Russell County, Alabama",59183
0500000US01115,"St. Clair County, Alabama",91103
0500000US01117,"Shelby County, Alabama",223024
0500000US01119,"Sumter County, Alabama",12345
0500000US01121,"Talladega County, Alabama",82149
0500000US01123,"Tallapoosa County, Alabama",41311
0500000US01125,"Tuscaloosa County, Alabama",227036
0500000US01127,"Walker County, Alabama",65342
0500000US01129,"Washington County, Alabama",15388
0500000US01131,"Wilcox County, Alabama",10600
0500000US01133,"Winston County, Alabama",23540
0500000US02013,"Aleutians East Borough, Alaska",3420
0500000US02016,"Aleutians West Census Area, Alaska",5232
0500000US02020,"Anchorage Municipality, Alaska",291247
0500000US02050,"Bethel Census Area, Alaska",18666
0500000US02060,"Bristol Bay Borough, Alaska",844
0500000US02063,"Chugach Census Area, Alaska",7102
0500000US02066,"Copper River Census Area, Alaska",2617
0500000US02068,"Denali Borough, Alaska",1619
0500000US02070,"Dillingham Census Area, Alaska",4857
0500000US02090,"Fairbanks North Star Borough, Alaska",95655
0500000US02100,"Haines Borough, Alaska",2080
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2365
0500000US02110,"Juneau City and Borough, Alaska",32255
0500000US02122,"Kenai Peninsula Borough, Alaska",58799
0500000US02130,"Ketchikan Gateway Borough, Alaska",13948
0500000US02150,"Kodiak Island Borough, Alaska",13101
0500000US02158,"Kusilvak Census Area, Alaska",8368
0500000US02164,"Lake and Peninsula Borough, Alaska",1476
0500000US02170,"Matanuska-Susitna Borough, Alaska",107081
0500000US02180,"Nome Census Area, Alaska",10046
0500000US02185,"North Slope Borough, Alaska",11031
0500000US02188,"Northwest Arctic Borough, Alaska",7793
0500000US02195,"Petersburg Borough, Alaska",3398
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5753
0500000US02220,"Sitka City and Borough, Alaska",8458
0500000US02230,"Skagway Municipality, Alaska",1240
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6808
0500000US02275,"Wrangell City and Borough, Alaska",2127
0500000US02282,"Yakutat City and Borough, Alaska",662
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5343
0500000US04001,"Apache County, Arizona",66021
0500000US04003,"Cochise County, Arizona",125447
0500000US04005,"Coconino County, Arizona",145101
0500000US04007,"Gila County, Arizona",53272
0500000US04009,"Graham County, Arizona",38533
0500000US04011,"Greenlee County, Arizona",9563
0500000US04012,"La Paz County, Arizona",16557
0500000US04013,"Maricopa County, Arizona",4420568
0500000US04015,"Mohave County, Arizona",213267
0500000US04017,"Navajo County, Arizona",106717
0500000US04019,"Pima County, Arizona",1043433
0500000US04021,"Pinal County, Arizona",425264
0500000US04023,"Santa Cruz County, Arizona",47669
0500000US04025,"Yavapai County, Arizona",236209
0500000US04027,"Yuma County, Arizona",203881
0500000US05001,"Arkansas County, Arkansas",17149
0500000US05003,"Ashley County, Arkansas",19062
0500000US05005,"Baxter County, Arkansas",41627
0500000US05007,"Benton County, Arkansas",284333
0500000US05009,"Boone County, Arkansas",37373
0500000US05011,"Bradley County, Arkansas",10545
0500000US05013,"Calhoun County, Arkansas",4739
0500000US05015,"Carroll County, Arkansas",28260
0500000US05017,"Chicot County, Arkansas",10208
0500000US05019,"Clark County, Arkansas",21446
0500000US05021,"Clay County, Arkansas",14552
0500000US05023,"Cleburne County, Arkansas",24711
0500000US05025,"Cleveland County, Arkansas",7550
0500000US05027,"Columbia County, Arkansas",22801
